"Game";"Platform";"Year";"Genre";"Publisher";"North America";"Europe";"Japan";"Rest of World";"Global"
"Pro Evolution Soccer 2016";"PS4";2015;"Sports";"Konami Digital Entertainment";0.14;0.43;0.14;0.1;0.82
"ARK: Survival Evolved";"PS4";2017;"Action";"Studio Wildcard";0.28;0.29;0.14;0.11;0.81
"Dragon Quest Heroes: The World's Tree Woe and the Blight Below";"PS4";2015;"Action";"Square Enix";0.21;0.14;0.39;0.07;0.81
"Assassin's Creed The Ezio Collection";"PS4";2016;"Action";"Ubisoft";0.14;0.52;0.02;0.12;0.79
"Final Fantasy XIV: A Realm Reborn";"PS4";2014;"MMO";"Square Enix";0.35;0.23;0.08;0.12;0.79
"Dark Souls III";"Xbox One";2016;"Role-Playing";"Namco Bandai Games";0.56;0.15;0.0;0.08;0.79
"Destiny: The Collection";"PS4";2016;"Shooter";"Activision";0.24;0.4;0.02;0.12;0.78
"F1 2016 (Codemasters)";"PS4";2016;"Racing";"Codemasters";0.07;0.56;0.03;0.11;0.78
"Hitman (2016)";"PS4";2017;"Action";"Square Enix";0.24;0.36;0.06;0.11;0.78
"LEGO Jurassic World";"Xbox One";2015;"Action";"Warner Bros. Interactive Entertainment";0.44;0.27;0.0;0.07;0.78
"Rare Replay";"Xbox One";2015;"Misc";"Microsoft Studios";0.42;0.27;0.01;0.07;0.78
"Mass Effect: Andromeda";"Xbox One";2017;"Role-Playing";"Electronic Arts";0.5;0.2;0.0;0.07;0.78
"Minecraft: Story Mode";"Xbox One";2015;"Adventure";"Mojang";0.46;0.24;0.0;0.07;0.77
"Fortnite";"Xbox One";2017;"Action";"Gearbox Software";0.6;0.09;0.0;0.08;0.77
"Pro Evolution Soccer 2015";"PS4";2014;"Sports";"Konami Digital Entertainment";0.09;0.45;0.12;0.1;0.76
"Quantum Break";"Xbox One";2016;"Action";"Microsoft Studios";0.42;0.25;0.02;0.07;0.76
"LEGO City Undercover";"PS4";2017;"Platform";"Warner Bros. Interactive Entertainment";0.17;0.46;0.01;0.12;0.75
"Pro Evolution Soccer 2018";"PS4";2017;"Sports";"Konami Digital Entertainment";0.12;0.36;0.19;0.09;0.75
"Disney Infinity 2.0: Marvel Super Heroes";"PS4";2014;"Action-Adventure";"Disney Interactive Studios";0.37;0.25;0.0;0.13;0.75
"Pro Evolution Soccer 2017";"PS4";2016;"Sports";"Konami Digital Entertainment";0.08;0.41;0.18;0.09;0.75
"Wolfenstein: The New Order";"Xbox One";2014;"Shooter";"Bethesda Softworks";0.39;0.3;0.0;0.06;0.75
"Rock Band 4";"Xbox One";2015;"Music";"Harmonix Music Systems";0.62;0.05;0.0;0.08;0.75
"Sniper Elite 3";"PS4";2014;"Shooter";"505 Games";0.25;0.37;0.0;0.12;0.74
"Need for Speed (2015)";"Xbox One";2015;"Racing";"Electronic Arts";0.35;0.33;0.0;0.06;0.74
"MLB 14 The Show";"PS4";2014;"Sports";"Sony Computer Entertainment";0.59;0.0;0.0;0.14;0.73
"The Sims 4";"Xbox One";2017;"Simulation";"Electronic Arts";0.42;0.24;0.0;0.07;0.73
"Need for Speed: Payback";"Xbox One";2017;"Racing";"Electronic Arts";0.42;0.24;0.0;0.07;0.73
"Dead Rising 4";"Xbox One";2016;"Action-Adventure";"Microsoft Studios";0.41;0.25;0.0;0.06;0.73
"WipEout Omega Collection";"PS4";2017;"Racing";"Sony Interactive Entertainment";0.12;0.49;0.0;0.11;0.72
"Deus Ex: Mankind Divided";"PS4";2016;"Role-Playing";"Square Enix";0.25;0.34;0.01;0.12;0.72
"LEGO Dimensions";"Xbox One";2015;"Action";"Warner Bros. Interactive Entertainment";0.47;0.18;0.0;0.07;0.72
"The LEGO Movie Videogame";"PS4";2014;"Action-Adventure";"Warner Bros. Interactive Entertainment";0.26;0.32;0.01;0.11;0.71
"The Crew";"Xbox One";2014;"Racing";"Ubisoft";0.32;0.34;0.0;0.06;0.71
"Plants vs Zombies: Garden Warfare";"Xbox One";2014;"Shooter";"Electronic Arts";0.39;0.25;0.0;0.06;0.71
"Marvel vs. Capcom: Infinite";"PS4";2017;"Fighting";"Capcom";0.36;0.19;0.04;0.11;0.7
"Need for Speed Rivals";"Xbox One";2013;"Racing";"Electronic Arts";0.45;0.19;0.0;0.07;0.7
"Wolfenstein II: The New Colossus";"Xbox One";2017;"Shooter";"Bethesda Softworks";0.45;0.19;0.0;0.07;0.7
"Dark Souls II";"PS4";2015;"Role-Playing";"Namco Bandai Games";0.27;0.23;0.09;0.1;0.69
"Yakuza 6";"PS4";2016;"Adventure";"Sega";0.16;0.1;0.38;0.05;0.69
"The Evil Within";"Xbox One";2014;"Misc";"Bethesda Softworks";0.36;0.27;0.0;0.06;0.69
"LEGO Worlds";"Xbox One";2017;"Misc";"Warner Bros. Interactive Entertainment";0.28;0.35;0.0;0.05;0.69
"F1 2015";"PS4";2015;"Racing";"Codemasters";0.1;0.45;0.04;0.1;0.68
"METRO 2033";"PS4";2014;"Shooter";"Deep Silver";0.22;0.31;0.05;0.1;0.68
"Borderlands: The Handsome Collection";"Xbox One";2015;"Shooter";"2K Games";0.49;0.13;0.0;0.07;0.68
"Rocksmith 2014";"PS4";2014;"Music";"Ubisoft";0.38;0.17;0.0;0.12;0.67
"Evolve";"Xbox One";2015;"Shooter";"2K Games";0.4;0.2;0.0;0.06;0.67
"NHL 16";"PS4";2015;"Sports";"EA Sports";0.38;0.16;0.0;0.12;0.66
"Plants vs Zombies: Garden Warfare";"PS4";2014;"Shooter";"Electronic Arts";0.24;0.3;0.01;0.11;0.66
"WWE 2K18";"Xbox One";2017;"Sports";"2K Sports";0.35;0.25;0.0;0.06;0.66
"Tomb Raider (2013)";"Xbox One";2014;"Action-Adventure";"Square Enix";0.38;0.22;0.0;0.06;0.66
"Tales of Berseria";"PS4";2016;"Role-Playing";"Namco Bandai Games";0.22;0.1;0.26;0.07;0.65
"Yakuza Zero: The Place of Oath";"PS4";2015;"Adventure";"Sega";0.22;0.16;0.19;0.08;0.65
"One Piece: Burning Blood";"PS4";2016;"Fighting";"Namco Bandai Games";0.21;0.26;0.09;0.09;0.65
"The LEGO Movie Videogame";"Xbox One";2014;"Action-Adventure";"Warner Bros. Interactive Entertainment";0.42;0.17;0.0;0.06;0.65
"Batman: Return to Arkham";"PS4";2016;"Action";"Warner Bros. Interactive Entertainment";0.15;0.39;0.01;0.1;0.64
"Plants vs. Zombies: Garden Warfare 2";"PS4";2016;"Shooter";"Electronic Arts";0.22;0.31;0.0;0.1;0.63
"WWE 2K16";"Xbox One";2015;"Sports";"Take-Two Interactive";0.34;0.24;0.0;0.06;0.63
"LEGO The Hobbit";"PS4";2014;"Action-Adventure";"Warner Bros. Interactive Entertainment";0.14;0.39;0.0;0.1;0.62
"World of Final Fantasy";"PS4";2016;"Role-Playing";"Square Enix";0.24;0.21;0.09;0.09;0.62
"F1 2017";"PS4";2017;"Racing";"Koch Media";0.04;0.47;0.02;0.09;0.62
"NHL 15";"PS4";2014;"Sports";"EA Sports";0.32;0.19;0.0;0.11;0.62
"Kinect Sports Rivals";"Xbox One";2014;"Sports";"Microsoft Studios";0.3;0.25;0.02;0.05;0.62
"South Park: The Fractured But Whole";"Xbox One";2017;"Role-Playing";"Ubisoft";0.4;0.17;0.0;0.06;0.62
"Knowledge is Power";"PS4";2017;"Party";"Sony Interactive Entertainment";0.05;0.47;0.0;0.09;0.61
"WWE 2K15";"Xbox One";2014;"Sports";"2K Sports";0.32;0.23;0.0;0.05;0.61
"EA Sports UFC 2";"Xbox One";2016;"Sports";"EA Sports";0.36;0.19;0.0;0.06;0.61
"L.A. Noire";"PS4";2017;"Adventure";"Rockstar Games";0.18;0.32;0.0;0.1;0.6
"NHL 17";"Xbox One";2016;"Sports";"EA Sports";0.52;0.01;0.0;0.06;0.6
"Hidden Agenda";"PS4";2017;"Adventure";"Sony Interactive Entertainment";0.08;0.42;0.0;0.09;0.59
"Call of Duty: Modern Warfare Remastered";"PS4";2017;"Shooter";"Activision";0.17;0.3;0.03;0.09;0.58
"Dragon Quest Builders: Revive Alefgard";"PS4";2016;"Role-Playing";"Square Enix";0.12;0.17;0.24;0.06;0.58
"Tekken 7";"Xbox One";2017;"Fighting";"Namco Bandai Games";0.3;0.23;0.0;0.05;0.58
"The Lego Ninjago Movie Videogame";"PS4";2017;"Action";"Warner Bros. Interactive Entertainment";0.16;0.32;0.0;0.09;0.57
"Resident Evil: Revelations 2";"PS4";2015;"Action";"Capcom";0.14;0.25;0.11;0.07;0.57
"Rock Band 4";"PS4";2015;"Music";"Harmonix Music Systems";0.41;0.06;0.0;0.1;0.57
"NHL 18";"PS4";2017;"Sports";"EA Sports";0.31;0.16;0.0;0.1;0.57
"LEGO Marvel Super Heroes 2";"Xbox One";2017;"Action";"Warner Bros. Interactive Entertainment";0.32;0.2;0.0;0.05;0.57
"WWE 2K17";"Xbox One";2016;"Sports";"2K Games";0.26;0.26;0.0;0.05;0.57
"Everybody's Golf";"PS4";2017;"Sports";"Sony Interactive Entertainment";0.12;0.22;0.17;0.06;0.56
"The Amazing Spider-Man 2 (2014)";"PS4";2014;"Action-Adventure";"Activision";0.2;0.26;0.02;0.09;0.56
"DOOM VFR";"PS4";2017;"Shooter";"Bethesda Softworks";0.22;0.25;0.0;0.09;0.56
"Sonic Forces";"PS4";2017;"Platform";"Sega";0.15;0.31;0.01;0.09;0.56
"Kingdom Come: Deliverance";"PS4";2018;"Role-Playing";"Deep Silver";0.18;0.28;0.0;0.09;0.56
"Lords of the Fallen";"PS4";2014;"Role-Playing";"Square Enix";0.2;0.24;0.02;0.09;0.55
"Sniper Elite 4";"PS4";2017;"Shooter";"Rebellion Developments";0.21;0.25;0.0;0.09;0.55
"Rory McIlroy PGA Tour";"PS4";2015;"Sports";"Electronic Arts";0.19;0.27;0.0;0.09;0.55
"Disney Infinity 2.0: Marvel Super Heroes";"Xbox One";2014;"Action-Adventure";"Disney Interactive Studios";0.35;0.15;0.0;0.05;0.55
"Just Dance 2015";"Xbox One";2014;"Music";"Ubisoft";0.36;0.13;0.0;0.05;0.54
"Dragon Ball Fighter Z";"Xbox One";2018;"Fighting";"Namco Bandai Games";0.38;0.09;0.0;0.05;0.52
"Alien: Isolation";"Xbox One";2014;"Adventure";"Sega";0.23;0.25;0.0;0.04;0.52
"Halo Wars 2";"Xbox One";2017;"Strategy";"Microsoft Studios";0.31;0.15;0.0;0.05;0.51
"NHL 16";"Xbox One";2015;"Sports";"EA Sports";0.41;0.05;0.0;0.05;0.51
"Lego Star Wars: The Force Awakens";"Xbox One";2016;"Action-Adventure";"Warner Bros. Interactive Entertainment";0.24;0.22;0.0;0.04;0.5
"Mad Max (2013)";"Xbox One";2015;"Action";"Warner Bros. Interactive Entertainment";0.29;0.16;0.0;0.05;0.5
"LEGO Marvel's Avengers";"Xbox One";2016;"Action";"Warner Bros. Interactive Entertainment";0.26;0.18;0.0;0.04;0.48
"Zoo Tycoon (2013)";"Xbox One";2013;"Simulation";"Microsoft Studios";0.25;0.18;0.0;0.04;0.48
"Steep";"Xbox One";2016;"Sports";"Ubisoft";0.24;0.2;0.0;0.04;0.48
"Thief 4";"Xbox One";2014;"Action";"Square Enix";0.26;0.17;0.0;0.04;0.48
"Just Dance 2014";"Xbox One";2013;"Music";"Ubisoft";0.31;0.12;0.0;0.04;0.48
"EA Sports UFC";"Xbox One";2014;"Fighting";"Electronic Arts";0.3;0.13;0.0;0.04;0.48
"BioShock The Collection";"Xbox One";2016;"Shooter";"2K Games";0.35;0.08;0.0;0.05;0.48
"Dragon Ball: Xenoverse 2";"Xbox One";2016;"Action";"Namco Bandai Games";0.33;0.09;0.0;0.05;0.47
"ARK: Survival Evolved";"Xbox One";2017;"Action-Adventure";"Studio Wildcard";0.3;0.12;0.0;0.04;0.46
"Disney Infinity 3.0";"Xbox One";2015;"Action";"Disney Interactive Studios";0.3;0.12;0.0;0.04;0.46
"Prey (2017)";"Xbox One";2017;"Shooter";"Bethesda Softworks";0.21;0.2;0.0;0.04;0.45
"Skylanders: Trap Team";"Xbox One";2014;"Platform";"Activision";0.34;0.07;0.0;0.04;0.45
"Lego Batman 3: Beyond Gotham";"Xbox One";2014;"Action";"Warner Bros. Interactive Entertainment";0.24;0.17;0.0;0.04;0.44
"EA Sports UFC 3";"Xbox One";2018;"Sports";"EA Sports";0.3;0.1;0.0;0.04;0.44
"Rocksmith 2014";"Xbox One";2014;"Music";"Ubisoft";0.31;0.08;0.0;0.04;0.43
"Sniper Elite 3";"Xbox One";2014;"Shooter";"505 Games";0.27;0.12;0.0;0.04;0.43
"Hello Neighbor";"Xbox One";2017;"Action";"Gearbox Software";0.27;0.11;0.0;0.04;0.42
"NHL 15";"Xbox One";2014;"Sports";"EA Sports";0.32;0.06;0.0;0.04;0.42
"Project CARS";"Xbox One";2015;"Racing";"Bandai Namco Games";0.21;0.16;0.0;0.04;0.41
"Destiny: The Collection";"Xbox One";2016;"Shooter";"Activision";0.25;0.12;0.0;0.04;0.41
"Skylanders: SuperChargers";"Xbox One";2015;"Action-Adventure";"Activision";0.31;0.05;0.0;0.04;0.4
"Deus Ex: Mankind Divided";"Xbox One";2016;"Role-Playing";"Square Enix";0.25;0.11;0.0;0.04;0.39
"NHL 18";"Xbox One";2017;"Sports";"EA Sports";0.32;0.03;0.0;0.04;0.39
"The Evil Within II";"Xbox One";2017;"Action";"Bethesda Softworks";0.25;0.1;0.0;0.04;0.39
"Rayman Legends";"Xbox One";2014;"Platform";"Ubisoft";0.13;0.22;0.0;0.03;0.38
"Just Dance 2016";"Xbox One";2015;"Music";"Ubisoft";0.3;0.04;0.0;0.04;0.38
"Skylanders SWAP Force";"Xbox One";2013;"Misc";"Activision";0.25;0.07;0.0;0.03;0.35
"Naruto Shippuden: Ultimate Ninja Storm 4";"Xbox One";2016;"Fighting";"Namco Bandai Games";0.25;0.07;0.0;0.03;0.35
"Dragon Ball: XenoVerse";"Xbox One";2015;"Fighting";"Namco Bandai Games";0.21;0.11;0.0;0.03;0.35
"Marvel vs. Capcom: Infinite";"Xbox One";2017;"Fighting";"Capcom";0.26;0.05;0.0;0.03;0.34
"Just Dance 2017";"Xbox One";2016;"Music";"Ubisoft";0.25;0.05;0.0;0.03;0.34
"The Lego Ninjago Movie Videogame";"Xbox One";2017;"Action";"Warner Bros. Interactive Entertainment";0.21;0.09;0.0;0.03;0.33
"The Crew 2";"Xbox One";2018;"Racing";"Ubisoft";0.2;0.1;0.0;0.03;0.33
"Farming Simulator 17";"Xbox One";2016;"Simulation";"Focus Home Interactive";0.19;0.11;0.0;0.03;0.33
"METRO 2033";"Xbox One";2014;"Shooter";"Deep Silver";0.15;0.14;0.0;0.03;0.31
"Hitman (2016)";"Xbox One";2017;"Action";"Square Enix";0.2;0.08;0.0;0.03;0.31
"LEGO City Undercover";"Xbox One";2017;"Platform";"Warner Bros. Interactive Entertainment";0.15;0.12;0.0;0.03;0.3
"Final Fantasy Type-0";"Xbox One";2015;"Role-Playing";"Square Enix";0.2;0.07;0.0;0.03;0.3
"Sniper Elite 4";"Xbox One";2017;"Shooter";"Rebellion Developments";0.18;0.09;0.0;0.03;0.3
"Sonic Forces";"Xbox One";2017;"Platform";"Sega";0.15;0.11;0.0;0.03;0.29
"Dark Souls II";"Xbox One";2015;"Role-Playing";"Namco Bandai Games";0.19;0.07;0.0;0.03;0.28
"Battleborn";"Xbox One";2016;"Shooter";"2K Games";0.2;0.05;0.0;0.03;0.28
"Rory McIlroy PGA Tour";"Xbox One";2015;"Sports";"Electronic Arts";0.16;0.09;0.0;0.02;0.28
"Assassin's Creed The Ezio Collection";"Xbox One";2016;"Action";"Ubisoft";0.13;0.12;0.0;0.02;0.27
"LEGO The Hobbit";"Xbox One";2014;"Action-Adventure";"Warner Bros. Interactive Entertainment";0.13;0.13;0.0;0.02;0.27
"Metal Gear Solid: Ground Zeroes";"Xbox One";2014;"Action-Adventure";"Konami Digital Entertainment";0.13;0.13;0.0;0.02;0.27
"Minecraft: Story Mode - Season Two";"Xbox One";2017;"Adventure";"Telltale Games";0.17;0.08;0.0;0.02;0.27
"Skylanders Imaginators";"Xbox One";2016;"Platform";"Activision";0.19;0.05;0.0;0.03;0.27
"Friday the 13th: The Game";"Xbox One";2017;"Action";"Gun Media";0.21;0.03;0.0;0.03;0.27
"ReCore";"Xbox One";2016;"Action-Adventure";"Microsoft Studios";0.16;0.06;0.01;0.02;0.26
"F1 2015";"Xbox One";2015;"Racing";"Codemasters";0.09;0.15;0.0;0.02;0.25
"L.A. Noire";"Xbox One";2017;"Adventure";"Rockstar Games";0.14;0.09;0.0;0.02;0.25
"Trials Fusion";"Xbox One";2014;"Racing";"Ubisoft";0.12;0.1;0.0;0.02;0.25
"Call of Duty: Modern Warfare Remastered";"Xbox One";2017;"Shooter";"Activision";0.16;0.06;0.0;0.02;0.24
"Zumba Fitness: World Party";"Xbox One";2013;"Misc";"Majesco Entertainment";0.17;0.05;0.0;0.02;0.24
"Saints Row IV";"Xbox One";2015;"Action";"Deep Silver";0.13;0.09;0.0;0.02;0.24
"Farming Simulator 2015";"Xbox One";2015;"Simulation";"Koch Media";0.13;0.09;0.0;0.02;0.24
"A Way Out";"Xbox One";2018;"Action";"Electronic Arts";0.17;0.05;0.0;0.02;0.24
"NBA Live 14";"Xbox One";2013;"Sports";"EA Sports";0.19;0.02;0.0;0.02;0.24
"Payday 2";"Xbox One";2015;"Shooter";"505 Games";0.14;0.07;0.0;0.02;0.23
"DiRT 4";"Xbox One";2017;"Racing";"Codemasters";0.11;0.1;0.0;0.02;0.23
"NBA Live 15";"Xbox One";2014;"Sports";"Electronic Arts";0.18;0.02;0.0;0.02;0.22
"F1 2016 (Codemasters)";"Xbox One";2016;"Racing";"Codemasters";0.09;0.12;0.0;0.02;0.22
"Deadpool";"Xbox One";2015;"Action";"Activision";0.17;0.03;0.0;0.02;0.22
"The Amazing Spider-Man 2 (2014)";"Xbox One";2014;"Action-Adventure";"Activision";0.12;0.08;0.0;0.02;0.22
"Kingdom Come: Deliverance";"Xbox One";2018;"Role-Playing";"Deep Silver";0.14;0.06;0.0;0.02;0.22
"Lords of the Fallen";"Xbox One";2014;"Role-Playing";"Square Enix";0.1;0.1;0.0;0.02;0.22
"Super Lucky's Tale";"Xbox One";2017;"Platform";"Microsoft Studios";0.13;0.07;0.0;0.02;0.22
"DiRT Rally";"Xbox One";2016;"Racing";"Codemasters";0.12;0.08;0.0;0.02;0.21
"Just Dance 2018";"Xbox One";2017;"Music";"Ubisoft";0.15;0.04;0.0;0.02;0.21
"Homefront: The Revolution";"Xbox One";2016;"Shooter";"Deep Silver";0.1;0.09;0.0;0.02;0.21
"State of Decay";"Xbox One";2015;"Action-Adventure";"Microsoft Studios";0.14;0.05;0.0;0.02;0.21
"NBA Live 18";"Xbox One";2017;"Sports";"EA Sports";0.18;0.0;0.0;0.02;0.21
"theHunter: Call of the Wild";"Xbox One";2017;"Shooter";"Astragon";0.18;0.0;0.0;0.02;0.21
"Sleeping Dogs";"Xbox One";2014;"Action-Adventure";"Square Enix";0.1;0.09;0.0;0.02;0.2
"Project CARS 2";"Xbox One";2017;"Racing";"Namco Bandai Games";0.01;0.18;0.0;0.01;0.2
"Batman: Return to Arkham";"Xbox One";2016;"Action";"Warner Bros. Interactive Entertainment";0.12;0.06;0.0;0.02;0.2
"Dishonored";"Xbox One";2015;"Action";"Bethesda Softworks";0.13;0.05;0.0;0.02;0.19
"One Piece: Burning Blood";"Xbox One";2016;"Fighting";"Namco Bandai Games";0.11;0.07;0.0;0.02;0.19
"Fantasia: Music Evolved";"Xbox One";2014;"Music";"Disney Interactive Studios";0.14;0.03;0.0;0.02;0.19
"Mirror's Edge 2";"Xbox One";2016;"Platform";"Electronic Arts";0.11;0.06;0.0;0.02;0.19
"Naruto to Boruto: Shinobi Striker";"Xbox One";2018;"Action";"Bandai Namco Games";0.17;0.0;0.0;0.02;0.19
"XCOM 2";"Xbox One";2016;"Strategy";"2K Games";0.15;0.02;0.0;0.02;0.19
"F1 2017";"Xbox One";2017;"Racing";"Koch Media";0.04;0.13;0.0;0.01;0.19
"Shape Up";"Xbox One";2014;"Sports";"Ubisoft";0.08;0.09;0.0;0.01;0.18
"Cities: Skylines";"Xbox One";2017;"Simulation";"Deep Silver";0.13;0.03;0.0;0.02;0.18
"Sniper: Ghost Warrior 3";"Xbox One";2017;"Shooter";"City Interactive";0.11;0.05;0.0;0.02;0.18
"Project Spark (Working Title)";"Xbox One";2014;"Misc";"Microsoft Studios";0.11;0.05;0.0;0.02;0.17
"Rush: A Disney Pixar Adventure";"Xbox One";2017;"Adventure";"Microsoft Studios";0.15;0.0;0.0;0.02;0.17
"Fighter Within";"Xbox One";2013;"Fighting";"Ubisoft";0.08;0.07;0.0;0.01;0.17
"Murdered: Soul Suspect";"Xbox One";2014;"Action-Adventure";"Square Enix";0.08;0.07;0.0;0.01;0.17
